ds,yhat
2021-06-02,785338.7958
2021-06-03,780042.356
2021-06-04,776459.6433
2021-06-05,480250.8275
2021-06-06,368446.9315
2021-06-07,758725.5981
2021-06-08,810669.9627
2021-06-09,807018.1458
2021-06-10,798184.2819
2021-06-11,790389.9749
2021-06-12,489405.0053
2021-06-13,372385.6788
2021-06-14,757147.0983
2021-06-15,803418.2102
2021-06-16,794087.2505
2021-06-17,779718.6222
2021-06-18,766680.2115
2021-06-19,460880.0882
2021-06-20,339601.0906
2021-06-21,720769.6818
2021-06-22,764208.0271
2021-06-23,752876.9942
2021-06-24,737391.1778
2021-06-25,724145.0033
2021-06-26,419048.8828
2021-06-27,299363.9375
2021-06-28,682971.6616
2021-06-29,729627.4485
2021-06-30,722205.636
2021-07-01,711217.1065
2021-07-02,702938.4187
2021-07-03,403151.3546
2021-07-04,288981.2921
2021-07-05,678170.6745
2021-07-06,730336.3849
2021-07-07,728218.5718
2021-07-08,722201.8546
2021-07-09,718447.7836
2021-07-10,422637.3464
2021-07-11,311811.8504
2021-07-12,703648.3861
2021-07-13,757718.6294
2021-07-14,756738.4955
2021-07-15,751089.5584
2021-07-16,746951.1135
2021-07-17,450041.6971
2021-07-18,337458.4308
2021-07-19,726950.4501
2021-07-20,778175.2435
2021-07-21,773945.4967
2021-07-22,764747.4437
2021-07-23,756869.7004
2021-07-24,456141.4936
2021-07-25,339768.7534
2021-07-26,725604.4272
2021-07-27,773401.9324
2021-07-28,766059.4269
2021-07-29,754135.9727
2021-07-30,743978.6268
2021-07-31,441459.4188
