ds,y
2016-11-03,919828
2016-11-04,798901
2016-11-05,536579
2016-11-06,406215
2016-11-07,887002
2016-11-08,880506
2016-11-09,865500
2016-11-10,842332
2016-11-11,715260
2016-11-12,500583
2016-11-13,369986
2016-11-14,862939
2016-11-15,881225
2016-11-16,884662
2016-11-17,873693
2016-11-18,819907
2016-11-19,477472
2016-11-20,345895
2016-11-21,844666
2016-11-22,837828
2016-11-23,661576
2016-11-24,266241
2016-11-25,496285
2016-11-26,441384
2016-11-27,343504
2016-11-28,801243
2016-11-29,871577
2016-11-30,852623
2016-12-01,885401
2016-12-02,882063
2016-12-03,517756
2016-12-04,333825
2016-12-05,841336
2016-12-06,859470
2016-12-07,831766
2016-12-08,790418
2016-12-09,806718
2016-12-10,472855
2016-12-11,309743
2016-12-12,787062
2016-12-13,785276
2016-12-14,734884
2016-12-15,617119
2016-12-16,744691
2016-12-17,445779
2016-12-18,270767
2016-12-19,650356
2016-12-20,758686
2016-12-21,770713
2016-12-22,747188
2016-12-23,676407
2016-12-24,391140
2016-12-25,199220
2016-12-26,380189
2016-12-27,575294
2016-12-28,611176
2016-12-29,593626
2016-12-30,628159
2016-12-31,433952
2017-01-01,277926
2017-01-02,371865
2017-01-03,690503
2017-01-04,636491
2017-01-05,611987
2017-01-06,591800
2017-01-07,362508
2017-01-08,290096
2017-01-09,781139
2017-01-10,773792
2017-01-11,803730
2017-01-12,777149
2017-01-13,771359
2017-01-14,429614
2017-01-15,328355
2017-01-16,486791
2017-01-17,829925
2017-01-18,835362
2017-01-19,823901
2017-01-20,798511
2017-01-21,488902
2017-01-22,331138
2017-01-23,817750
2017-01-24,834979
2017-01-25,831467
2017-01-26,823395
2017-01-27,792183
2017-01-28,439479
2017-01-29,304565
2017-01-30,806014
2017-01-31,828074
2017-02-01,883845
2017-02-02,829125
2017-02-03,782899
2017-02-04,461743
2017-02-05,351708
2017-02-06,838312
2017-02-07,827885
2017-02-08,841278
2017-02-09,815353
2017-02-10,832724
2017-02-11,497589
2017-02-12,358101
2017-02-13,822007
2017-02-14,870130
2017-02-15,841181
2017-02-16,831398
2017-02-17,841425
2017-02-18,512205
2017-02-19,383581
2017-02-20,623736
2017-02-21,848951
2017-02-22,873309
2017-02-23,850254
2017-02-24,820536
2017-02-25,449817
2017-02-26,350829
2017-02-27,837214
2017-02-28,823654
2017-03-01,863043
2017-03-02,842926
2017-03-03,851128
2017-03-04,487500
2017-03-05,364977
2017-03-06,823084
2017-03-07,862784
2017-03-08,858498
2017-03-09,841498
2017-03-10,816750
2017-03-11,459826
2017-03-12,336952
2017-03-13,761376
2017-03-14,712423
2017-03-15,822423
2017-03-16,827779
2017-03-17,804320
2017-03-18,473609
2017-03-19,371042
2017-03-20,802404
2017-03-21,835641
2017-03-22,816876
2017-03-23,802941
2017-03-24,821828
2017-03-25,414644
2017-03-26,340733
2017-03-27,825472
2017-03-28,846658
2017-03-29,837430
2017-03-30,756598
2017-03-31,839312
2017-04-01,517493
2017-04-02,357643
2017-04-03,840610
2017-04-04,873844
2017-04-05,755345
2017-04-06,822266
2017-04-07,765361
2017-04-08,508239
2017-04-09,388435
2017-04-10,695555
2017-04-11,736309
2017-04-12,754940
2017-04-13,723724
2017-04-14,692506
2017-04-15,506929
2017-04-16,339738
2017-04-17,809433
2017-04-18,848195
2017-04-19,811178
2017-04-20,797055
2017-04-21,819393
2017-04-22,493687
2017-04-23,373492
2017-04-24,830257
2017-04-25,860569
2017-04-26,838762
2017-04-27,807318
2017-04-28,830500
2017-04-29,405068
2017-04-30,307608
2017-05-01,847371
2017-05-02,846717
2017-05-03,890581
2017-05-04,836436
2017-05-05,840819
2017-05-06,502922
2017-05-07,370985
2017-05-08,829268
2017-05-09,827183
2017-05-10,821006
2017-05-11,832163
2017-05-12,824305
2017-05-13,504045
2017-05-14,364734
2017-05-15,805190
2017-05-16,843103
2017-05-17,835226
2017-05-18,824327
2017-05-19,768158
2017-05-20,441093
2017-05-21,366609
2017-05-22,817334
2017-05-23,799986
2017-05-24,820511
2017-05-25,829938
2017-05-26,779960
2017-05-27,492255
2017-05-28,366179
2017-05-29,375171
2017-05-30,802596
2017-05-31,827890
2017-06-01,860327
2017-06-02,861203
2017-06-03,523471
2017-06-04,400326
2017-06-05,838839
2017-06-06,845564
2017-06-07,846730
2017-06-08,821372
2017-06-09,833135
2017-06-10,525084
2017-06-11,406991
2017-06-12,808630
2017-06-13,817478
2017-06-14,786388
2017-06-15,830091
2017-06-16,785270
2017-06-17,486358
2017-06-18,390193
2017-06-19,755955
2017-06-20,801344
2017-06-21,758596
2017-06-22,733128
2017-06-23,729483
2017-06-24,504647
2017-06-25,390267
2017-06-26,738507
2017-06-27,763875
2017-06-28,722682
2017-06-29,747180
2017-06-30,763402
2017-07-01,514092
2017-07-02,398108
2017-07-03,669915
2017-07-04,407991
2017-07-05,746019
2017-07-06,755516
2017-07-07,749664
2017-07-08,517165
2017-07-09,400539
2017-07-10,719494
2017-07-11,771348
2017-07-12,694204
2017-07-13,773047
2017-07-14,748691
2017-07-15,511540
2017-07-16,371692
2017-07-17,754669
2017-07-18,776582
2017-07-19,769368
2017-07-20,716096
2017-07-21,733117
2017-07-22,485978
2017-07-23,380247
2017-07-24,744976
2017-07-25,765040
2017-07-26,769890
2017-07-27,770692
2017-07-28,754679
2017-07-29,496951
2017-07-30,385002
2017-07-31,732690
2017-08-01,789859
2017-08-02,771256
2017-08-03,763271
2017-08-04,732776
2017-08-05,503623
2017-08-06,376669
2017-08-07,733495
2017-08-08,761850
2017-08-09,759657
2017-08-10,747519
2017-08-11,746418
2017-08-12,505271
2017-08-13,384338
2017-08-14,722238
2017-08-15,774523
2017-08-16,739357
2017-08-17,722939
2017-08-18,741688
2017-08-19,510200
2017-08-20,395932
2017-08-21,707640
2017-08-22,741370
2017-08-23,763384
2017-08-24,749315
2017-08-25,749192
2017-08-26,487453
2017-08-27,358840
2017-08-28,761796
2017-08-29,783337
2017-08-30,801205
2017-08-31,791635
2017-09-01,827394
2017-09-02,512150
2017-09-03,417707
2017-09-04,375104
2017-09-05,893214
2017-09-06,854979
2017-09-07,867162
2017-09-08,849319
2017-09-09,511569
2017-09-10,383625
2017-09-11,861907
2017-09-12,883298
2017-09-13,876445
2017-09-14,874356
2017-09-15,871656
2017-09-16,517447
2017-09-17,386719
2017-09-18,866120
2017-09-19,861844
2017-09-20,887017
2017-09-21,859255
2017-09-22,854042
2017-09-23,499368
2017-09-24,378420
2017-09-25,861042
2017-09-26,877350
2017-09-27,882592
2017-09-28,881438
2017-09-29,898739
2017-09-30,524516
2017-10-01,389470
2017-10-02,877992
2017-10-03,921022
2017-10-04,889343
2017-10-05,889166
2017-10-06,841999
2017-10-07,484231
2017-10-08,374005
2017-10-09,712539
2017-10-10,874192
2017-10-11,850229
2017-10-12,870996
2017-10-13,879791
2017-10-14,376288
2017-10-15,362392
2017-10-16,867372
2017-10-17,882601
2017-10-18,888806
2017-10-19,876423
2017-10-20,862656
2017-10-21,520339
2017-10-22,344543
2017-10-23,802893
2017-10-24,812947
2017-10-25,876000
2017-10-26,872176
2017-10-27,833348
2017-10-28,472503
2017-10-29,355321
2017-10-30,837676
2017-10-31,843988
2017-11-01,881053
2017-11-02,864434
2017-11-03,815500
2017-11-04,450968
2017-11-05,359176
2017-11-06,866671
2017-11-07,871211
2017-11-08,875619
2017-11-09,860819
2017-11-10,741017
2017-11-11,461927
2017-11-12,341066
2017-11-13,846572
2017-11-14,862352
2017-11-15,826138
2017-11-16,831869
2017-11-17,836442
2017-11-18,426814
2017-11-19,359562
2017-11-20,840370
2017-11-21,825182
2017-11-22,677643
2017-11-23,263654
2017-11-24,503847
2017-11-25,425522
2017-11-26,336930
2017-11-27,839274
2017-11-28,847910
2017-11-29,850702
2017-11-30,850783
2017-12-01,890982
2017-12-02,511676
2017-12-03,378519
2017-12-04,855387
2017-12-05,822703
2017-12-06,829498
2017-12-07,794129
2017-12-08,805911
2017-12-09,439827
2017-12-10,336156
2017-12-11,807879
2017-12-12,783312
2017-12-13,800995
2017-12-14,790977
2017-12-15,780679
2017-12-16,484468
2017-12-17,351260
2017-12-18,784151
2017-12-19,812618
2017-12-20,798144
2017-12-21,769444
2017-12-22,727262
2017-12-23,438917
2017-12-24,275937
2017-12-25,164256
2017-12-26,398823
2017-12-27,466856
2017-12-28,509850
2017-12-29,552051
2017-12-30,335207
2017-12-31,274143
2018-01-01,199845
2018-01-02,507648
2018-01-03,598578
2018-01-04,594414
2018-01-05,597163
2018-01-06,372807
2018-01-07,284438
2018-01-08,755777
2018-01-09,780104
